pair_index,pair_id,fragment_index,start_utc,end_utc,duration_seconds,parent_fragment_status,downstream_fragment_class,witness_count,parent_fragment_row_sha256
29,3013|85373,1,1928-10-12T23:13:38+00:00,1928-10-12T23:33:35+00:00,1197.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,fa1a99231afd15388a92f1f95099bd4db9e3180aeaa5770e9adb377414584f1e
30,3013|85374,1,1928-10-12T23:35:34+00:00,1928-10-12T23:41:33+00:00,359.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,ba9aa84eb53b830afe95d8e655e2476e0fa7d1068d8b3c336c59dbdb00c39b5a
32,3018|85379,1,1928-10-14T23:10:04+00:00,1928-10-14T23:16:44+00:00,400.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,2,db8bbef32ccc36d5122c24321178481433e305e40dc95ddb65d797b0f65f1825
33,3018|85380,1,1928-10-14T23:17:44+00:00,1928-10-14T23:19:02+00:00,78.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,30e7f687550885252b82edde8b7aa22b2932f298993dd5700077f7d921d67883
36,3018|85397,1,1928-10-15T22:04:59+00:00,1928-10-15T22:24:56+00:00,1197.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,c048f4144159447037ce6ef8f5d2ed2590cf168584c0f815752c18f823e9b0a6
37,3018|85398,1,1928-10-15T22:25:56+00:00,1928-10-15T22:31:55+00:00,359.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,06ed049c4fd5c2d4c3021dcb40c0e2217d7e5ef7813b2e6aba6fd20d214f2ced
38,3018|85399,1,1928-10-15T22:41:53+00:00,1928-10-15T23:03:50+00:00,1317.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,11f5c0ae65964e23522f50e6888a1e742e4043cdcf2d44ac0a975a4967d58ca0
39,3018|85400,1,1928-10-15T23:04:50+00:00,1928-10-15T23:12:48+00:00,478.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,7d7a327354d6b66a4c2a7f5f7c3b8e45aa21430c0d382a0eb3cf7cc7cc67eaa3
40,3018|85401,1,1928-10-15T23:21:47+00:00,1928-10-15T23:41:44+00:00,1197.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,8e07a26394d266cc7e28e819bcfc57f822a534ac72587a28dd5fc791f511d695
52,3047|120736,1,1929-01-09T20:53:00+00:00,1929-01-09T20:53:26+00:00,26.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,ba5223df9a4f23f3a90681eac0e3a0df6cdc45c0db9036069f19a90f6f1a47db
61,3049|85501,1,1929-01-10T00:02:37+00:00,1929-01-10T00:32:32+00:00,1795.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,af43e12561c40ca89617bd6e75c9fd9baefc6dd8a51babf30fc09753e7f3d002
62,3049|85502,1,1929-01-10T00:33:31+00:00,1929-01-10T00:42:30+00:00,539.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,0a36ac06169c39538538a0305d1caf267872326e03ec0e236d5e5d2c2f40d150
65,3075|85573,1,1929-01-31T20:52:23+00:00,1929-01-31T21:12:20+00:00,1197.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,efe6184a4b35877ee3de347b73cb60b32d962d2566a0c54d06d17da1e730008d
66,3075|85574,1,1929-01-31T21:13:20+00:00,1929-01-31T21:19:19+00:00,359.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,a0d38e44d35d79ff29c9c71b8e1975fad5246733f3ee31c241a317b2b06c939b
106,3103|85661,1,1929-02-08T20:49:10+00:00,1929-02-08T20:56:50+00:00,460.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,2,a557231b0f60a2630f4b56e56219168ac6c86e3f8c9a412a1dd7fc351bc3a1d3
108,3104|85663,1,1929-02-08T21:09:36+00:00,1929-02-08T21:24:34+00:00,898.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,c6ac19698f50a180f9834c3e3bf79235fa7633dffeef34a5ce428143651f116e
131,3133|120894,1,1929-03-16T21:57:00+00:00,1929-03-16T22:27:00+00:00,1800.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,f1285e9bd10d0951922c2a721c3ac284c04f53527feb0013e9438e9d1b06622f
145,3141|120929,1,1929-03-28T21:00:00+00:00,1929-03-28T21:30:00+00:00,1800.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,cd0b3bdef7ddbafaf530ba7a82fe8346e4d09afb623db56463a8e53f3c5bf9d0
146,3170|120975,1,1929-05-02T21:36:00+00:00,1929-05-02T22:06:00+00:00,1800.0,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,677fac9c6d4cc71ff7056e66a29bcbace003b4a6397f6149df2736cc5695b6a0
