cell_ira,cell_idec,consumer_pair_count,consumer_pair_indices
312,324,1,3
312,325,1,3
312,326,1,3
313,322,1,3
313,323,1,3
313,324,1,3
313,325,1,3
313,326,1,3
313,327,1,3
313,328,1,3
313,329,1,3
313,340,1,3
313,341,1,3
313,342,1,3
313,343,1,3
313,344,1,3
313,345,1,3
313,346,1,3
313,347,1,3
313,348,1,3
313,349,1,3
313,350,1,3
313,351,1,3
313,352,1,3
313,353,1,3
313,354,1,3
313,355,1,3
313,361,1,3
313,362,1,3
313,366,1,3
313,367,1,3
313,368,1,3
313,371,1,3
314,321,1,3
314,322,1,3
314,327,1,3
314,328,1,3
314,340,1,3
314,341,1,3
314,342,1,3
314,343,1,3
314,344,1,3
314,345,1,3
314,346,1,3
314,347,1,3
314,348,1,3
314,349,1,3
314,350,1,3
314,351,1,3
314,352,1,3
314,353,1,3
314,354,1,3
314,367,1,3
315,321,1,3
315,328,1,3
315,340,1,3
315,341,1,3
315,342,1,3
315,343,1,3
315,344,1,3
315,347,1,3
315,348,1,3
315,349,1,3
315,350,1,3
315,351,1,3
315,352,1,3
315,353,1,3
315,354,1,3
315,367,1,3
316,339,1,3
316,340,1,3
316,341,1,3
316,342,1,3
316,343,1,3
316,348,1,3
316,349,1,3
316,350,1,3
316,351,1,3
316,352,1,3
316,353,1,3
316,354,1,3
316,367,1,3
317,320,1,3
317,336,1,3
317,337,1,3
317,338,1,3
317,340,1,3
317,341,1,3
317,342,1,3
317,343,1,3
317,348,1,3
317,349,1,3
317,350,1,3
317,351,1,3
317,352,1,3
317,353,1,3
317,355,1,3
317,356,1,3
317,365,1,3
317,366,1,3
317,367,1,3
318,321,1,3
318,336,1,3
318,343,1,3
318,348,1,3
318,349,1,3
318,350,1,3
318,351,1,3
318,352,1,3
318,357,1,3
318,358,1,3
318,364,1,3
318,365,1,3
318,366,1,3
319,320,1,3
319,321,1,3
319,322,1,3
319,323,1,3
319,336,1,3
319,343,1,3
319,348,1,3
319,349,1,3
319,350,1,3
319,351,1,3
319,352,1,3
319,357,1,3
319,365,1,3
319,366,1,3
319,373,1,3
319,374,1,3
319,375,1,3
320,321,1,3
320,322,1,3
320,343,1,3
320,344,1,3
320,345,1,3
320,346,1,3
320,349,1,3
320,350,1,3
320,351,1,3
320,366,1,3
320,373,1,3
320,374,1,3
320,375,1,3
321,328,1,3
321,343,1,3
321,344,1,3
321,345,1,3
321,352,1,3
321,374,1,3
321,375,1,3
322,329,1,3
322,343,1,3
322,344,1,3
322,374,1,3
322,375,1,3
323,329,1,3
323,330,1,3
323,343,1,3
323,344,1,3
323,374,1,3
323,375,1,3
324,329,1,3
324,330,1,3
324,343,1,3
324,374,1,3
324,375,1,3
325,320,1,3
325,329,1,3
325,330,1,3
325,331,1,3
325,366,1,3
325,374,1,3
325,375,1,3
326,321,1,3
326,327,1,3
326,328,1,3
326,329,1,3
326,330,1,3
326,331,1,3
326,332,1,3
326,344,1,3
326,348,1,3
326,349,1,3
326,350,1,3
326,366,1,3
326,373,1,3
326,374,1,3
326,375,1,3
327,321,1,3
327,322,1,3
327,328,1,3
327,329,1,3
327,330,1,3
327,331,1,3
327,338,1,3
327,344,1,3
327,345,1,3
327,346,1,3
327,351,1,3
327,352,1,3
327,366,1,3
327,373,1,3
327,374,1,3
327,375,1,3
328,321,1,3
328,322,1,3
328,323,1,3
328,328,1,3
328,329,1,3
328,330,1,3
328,331,1,3
328,337,1,3
328,338,1,3
328,339,1,3
328,343,1,3
328,344,1,3
328,345,1,3
328,372,1,3
328,373,1,3
328,374,1,3
328,375,1,3
329,321,1,3
329,322,1,3
329,323,1,3
329,329,1,3
329,330,1,3
329,331,1,3
329,337,1,3
329,338,1,3
329,339,1,3
329,340,1,3
329,341,1,3
329,342,1,3
329,343,1,3
329,344,1,3
329,345,1,3
329,367,1,3
329,368,1,3
329,371,1,3
329,372,1,3
329,373,1,3
329,374,1,3
329,375,1,3
330,321,1,3
330,322,1,3
330,323,1,3
330,329,1,3
330,330,1,3
330,331,1,3
330,332,1,3
330,336,1,3
330,337,1,3
330,338,1,3
330,339,1,3
330,341,1,3
330,342,1,3
330,343,1,3
330,344,1,3
330,345,1,3
330,346,1,3
330,367,1,3
330,368,1,3
330,369,1,3
330,370,1,3
330,375,1,3
331,321,1,3
331,322,1,3
331,323,1,3
331,324,1,3
331,329,1,3
331,330,1,3
331,331,1,3
331,332,1,3
331,333,1,3
331,334,1,3
331,335,1,3
331,336,1,3
331,337,1,3
331,345,1,3
331,346,1,3
331,347,1,3
331,348,1,3
331,367,1,3
331,368,1,3
331,369,1,3
331,370,1,3
332,321,1,3
332,322,1,3
332,323,1,3
332,324,1,3
332,329,1,3
332,330,1,3
332,334,1,3
332,335,1,3
332,336,1,3
332,337,1,3
332,346,1,3
332,347,1,3
332,352,1,3
332,368,1,3
332,369,1,3
333,321,1,3
333,322,1,3
333,323,1,3
333,324,1,3
333,325,1,3
333,327,1,3
333,328,1,3
333,329,1,3
333,336,1,3
333,337,1,3
333,347,1,3
333,375,1,3
333,411,1,17
334,321,1,3
334,322,1,3
334,323,1,3
334,324,1,3
334,325,1,3
334,326,1,3
334,327,1,3
334,328,1,3
334,329,1,3
334,336,1,3
334,375,1,3
335,321,1,3
335,322,1,3
335,323,1,3
335,328,1,3
335,329,1,3
335,374,1,3
335,375,1,3
336,321,1,3
336,328,1,3
336,329,1,3
336,330,1,3
336,343,1,3
336,347,1,3
336,375,1,3
337,328,1,3
337,329,1,3
337,330,1,3
337,342,1,3
337,343,1,3
337,344,1,3
337,345,1,3
337,346,1,3
338,329,1,3
338,345,1,3
338,346,1,3
338,355,1,3
338,368,1,3
338,369,1,3
338,371,1,3
339,328,1,3
339,329,1,3
339,336,1,3
339,346,1,3
339,368,1,3
339,369,1,3
339,370,1,3
339,371,1,3
339,376,1,3
340,336,1,3
340,346,1,3
340,347,1,3
340,369,1,3
340,370,1,3
340,371,1,3
340,376,1,3
341,336,1,3
341,337,1,3
341,346,1,3
341,347,1,3
341,348,1,3
341,370,1,3
341,371,1,3
341,372,1,3
341,373,1,3
341,374,1,3
341,375,1,3
341,376,1,3
342,336,1,3
342,337,1,3
342,346,1,3
342,347,1,3
342,348,1,3
342,349,1,3
342,357,1,3
342,363,1,3
342,364,1,3
342,370,1,3
342,371,1,3
342,372,1,3
342,373,1,3
342,374,1,3
342,375,1,3
342,376,1,3
343,336,1,3
343,337,1,3
343,346,1,3
343,347,1,3
343,348,1,3
343,349,1,3
343,350,1,3
343,356,1,3
343,357,1,3
343,363,1,3
343,364,1,3
343,369,1,3
343,370,1,3
343,371,1,3
343,372,1,3
343,373,1,3
343,374,1,3
343,375,1,3
343,376,1,3
344,321,1,3
344,325,1,3
344,336,1,3
344,337,1,3
344,338,1,3
344,346,1,3
344,347,1,3
344,348,1,3
344,349,1,3
344,350,1,3
344,351,1,3
344,352,1,3
344,353,1,3
344,354,1,3
344,362,1,3
344,363,1,3
344,365,1,3
344,366,1,3
344,367,1,3
344,371,1,3
344,372,1,3
344,373,1,3
344,374,1,3
344,375,1,3
344,376,1,3
345,321,1,3
345,328,1,3
345,335,1,3
345,336,1,3
345,337,1,3
345,338,1,3
345,339,1,3
345,346,1,3
345,347,1,3
345,348,1,3
345,349,1,3
345,352,1,3
345,353,1,3
345,358,1,3
345,359,1,3
345,360,1,3
345,361,1,3
345,362,1,3
345,372,1,3
345,373,1,3
345,374,1,3
345,375,1,3
345,376,1,3
345,380,5,4;5;16;17;18
346,328,1,3
346,335,1,3
346,336,1,3
346,337,1,3
346,338,1,3
346,339,1,3
346,340,1,3
346,341,1,3
346,353,1,3
346,359,1,3
346,360,1,3
346,361,1,3
346,375,1,3
346,376,1,3
346,380,1,17
347,328,1,3
347,329,1,3
347,334,1,3
347,335,1,3
347,336,1,3
347,337,1,3
347,338,1,3
347,339,1,3
347,340,1,3
347,341,1,3
347,353,1,3
347,376,1,3
347,380,2,4;5
348,328,1,3
348,329,1,3
348,330,1,3
348,334,1,3
348,335,1,3
348,336,1,3
348,337,1,3
348,338,1,3
348,339,1,3
348,340,1,3
348,366,1,3
348,367,1,3
348,369,1,3
348,380,2,4;5
349,321,1,3
349,322,1,3
349,327,1,3
349,328,1,3
349,329,1,3
349,332,1,3
349,333,1,3
349,334,1,3
349,335,1,3
349,336,1,3
349,337,1,3
349,338,1,3
349,339,1,3
349,356,1,3
349,357,1,3
349,364,1,3
349,365,1,3
349,366,1,3
349,367,1,3
349,368,1,3
349,369,1,3
349,370,1,3
349,380,2,4;5
350,321,1,3
350,328,1,3
350,333,1,3
350,334,1,3
350,335,1,3
350,336,1,3
350,337,1,3
350,338,1,3
350,339,1,3
350,344,1,3
350,345,1,3
350,357,1,3
350,365,1,3
350,370,1,3
350,371,1,3
351,357,1,3
351,370,1,3
351,371,1,3
351,372,1,3
352,356,1,3
352,357,1,3
352,370,1,3
352,371,1,3
352,372,1,3
352,373,1,3
352,376,1,3
353,346,1,3
353,355,1,3
353,356,1,3
353,357,1,3
353,370,1,3
353,371,1,3
353,372,1,3
353,373,1,3
353,374,1,3
353,375,1,3
353,376,1,3
354,321,1,3
354,346,1,3
354,347,1,3
354,354,1,3
354,355,1,3
354,356,1,3
354,357,1,3
354,358,1,3
354,364,1,3
354,365,1,3
354,366,1,3
354,368,1,3
354,369,1,3
354,370,1,3
354,371,1,3
354,372,1,3
354,373,1,3
354,374,1,3
354,375,1,3
355,322,1,3
355,323,1,3
355,332,1,3
355,333,1,3
355,334,1,3
355,336,1,3
355,339,1,3
355,340,1,3
355,341,1,3
355,342,1,3
355,344,1,3
355,346,1,3
355,347,1,3
355,348,1,3
355,349,1,3
355,350,1,3
355,351,1,3
355,352,1,3
355,353,1,3
355,354,1,3
355,356,1,3
355,357,1,3
355,358,1,3
355,359,1,3
355,361,1,3
355,363,1,3
418,379,1,27
420,379,1,27
421,379,1,27
431,339,1,27
432,339,1,27
432,378,1,27
435,350,1,27
436,343,1,27
436,344,1,27
436,350,1,27
436,358,1,27
436,365,1,27
606,404,1,24
606,407,1,24
606,413,1,24
606,414,1,24
606,415,1,24
606,416,1,24
606,417,1,24
606,418,1,24
606,419,1,24
606,421,1,24
606,422,1,24
606,423,1,24
606,424,1,24
